player_name,team_name,pos,games_played,g,a,pts,pims,sog,gwg,ppp,shp,hits,blk
Greg Pateryn,MIN,D,80,1,6,7,41,100,0,0,0,144,118
Taro Hirose,DET,LW,10,1,6,7,2,15,1,1,0,1,9
Joakim Ryan,LA,D,44,0,7,7,15,35,0,0,0,43,39
Kevan Miller,BOS,D,39,0,7,7,35,32,0,0,0,73,79
Carl Grundstrom,LA,LW,15,5,1,6,6,26,1,1,0,38,3
Jean-Sebastien Dea,BUF,C,23,4,2,6,8,29,1,0,0,21,12
Brandon Sutter,VAN,C,26,4,2,6,6,43,0,1,1,33,13
Brett Ritchie,BOS,RW,53,4,2,6,57,57,2,1,0,126,13
Lukas Sedlak,FA,C,47,4,2,6,10,43,0,0,0,69,20
Peter Cehlarik,BOS,C,20,4,2,6,6,30,1,1,0,5,7
Steve Kampfer,BOS,D,35,3,3,6,22,40,0,2,0,44,32
Sheldon Dries,COL,C,40,3,3,6,26,44,0,0,1,66,20
Alexandre Fortin,CHI,C,24,3,3,6,2,29,1,0,1,21,7
Lias Andersson,NYR,LW,42,2,4,6,29,41,0,0,1,60,8
Matt Roy,LA,D,25,2,4,6,8,34,1,0,0,38,47
Fredrik Claesson,CAR,D,37,2,4,6,9,44,0,0,1,76,33
Micheal Haley,NYR,LW,43,2,4,6,75,34,0,0,0,76,16
Slater Koekkoek,CHI,D,31,2,4,6,14,36,0,0,0,54,48
Robby Fabbri,STL,LW,32,2,4,6,6,43,1,0,0,30,8
Martin Frk,LA,RW,30,1,5,6,4,28,0,1,0,35,4
Dion Phaneuf,FA,D,67,1,5,6,53,80,0,0,0,128,79
Lawrence Pilut,BUF,D,33,1,5,6,20,37,0,0,0,20,33
Caleb Jones,EDM,D,17,1,5,6,6,21,0,1,0,20,18
Casey Nelson,BUF,D,38,1,5,6,13,37,0,0,0,44,36
Juho Lammikko,FA,RW,40,0,6,6,6,39,0,0,1,45,21
Dmitry Kulikov,WPG,D,57,0,6,6,47,40,0,0,0,88,71
Christian Folin,MON,D,45,0,6,6,27,47,0,0,0,125,78
